MarkovTime	Stability	numClusters	meanVI
0.1	0.44349069761992416	59	0.0
0.107189	0.44063093284415666	58	0.0
0.110975	0.4390762975531949	58	0.0
0.118953	0.4358211516096726	58	0.0
0.123155	0.4341179660323005	58	0.0
0.127505	0.4323629496717483	58	0.0
0.132009	0.4305545026728619	58	0.0
0.136672	0.4288105184830756	57	0.0
0.146497	0.42664838627922524	49	0.0
0.151672	0.42485279079371074	48	0.0
0.162576	0.42189947096613545	41	0.021604587446023872
0.168318	0.42014261614553994	40	0.014403058297349247
0.174263	0.4202653648718536	35	0.0
0.180419	0.41856603935436404	34	0.0
0.186791	0.4166054895454061	34	0.0
0.193389	0.41472866182102097	33	0.0
0.20022	0.4132938143970316	32	0.0
0.222195	0.40720234170125535	31	0.0
0.238169	0.4031887929178592	27	0.07084350201942761
0.255291	0.3992264201635718	24	0.08370017760869697
0.264308	0.3972222889628421	22	0.20368208027822723
0.273644	0.3949239002789179	21	0.15547277869026477
0.293317	0.3906925690601195	18	0.07174248213685575
0.303677	0.38841960843724754	17	0.08193499281082257
0.314404	0.386091100639378	15	0.19656606385906433
0.337006	0.3808424780340115	12	0.0
0.361234	0.3754405487748088	10	0.0
0.373994	0.3736800477800829	10	0.0
0.387204	0.37095834732211797	9	0.05285241713202353
0.41504	0.36745445783656094	9	0.05285241713202353
0.4297	0.36563431878603947	9	0.05285241713202353
0.444878	0.36353434115658834	9	0.05285241713202371
0.460592	0.36037958751763993	8	0.13589222027806916
0.493705	0.35665076787154415	8	0.0
0.511143	0.350217011511155	8	0.0
0.567243	0.3447757078484039	8	0.220324205795101
0.587279	0.33946761553924965	7	0.0
0.608022	0.33768921395921425	7	0.0
0.629499	0.3358675116428137	7	0.0
0.651734	0.3332224480372257	6	0.0848595058173641
0.674754	0.3313394786208106	6	0.0848595058173641
0.723263	0.3274405575927369	6	0.0
0.74881	0.3254238012257157	6	0.0
0.77526	0.32336161619751874	6	0.0
0.802643	0.3175287478765666	5	0.0
0.860346	0.29935324633377053	4	0.24309210735656156
0.890735	0.2975176197048797	4	0.24309210735656156
0.922198	0.2956411107308176	4	0.24309210735656156
0.954772	0.29372343441012044	4	0.3646381610348423
1.02341	0.2897634078954819	4	0.24309210735656156
1.05956	0.28772030271751514	4	0.3646381610348423
1.13573	0.25788493395352563	4	0.0
1.17585	0.25616090250927714	4	0.0
1.26038	0.25259918975064966	4	0.0
1.3049	0.25076040016941364	4	0.0
1.39871	0.24696548159625828	4	0.0
1.44812	0.24500838490843635	4	0.0
1.55223	0.2281137018682549	3	0.38027547093285297
1.60705	0.2262096208821781	3	0.38027547093285297
1.72259	0.21937690557306694	3	0.0
1.84642	0.21542794077273353	3	0.5673229481852938
1.91164	0.12265765935956383	3	0.0
1.97917	0.16325525132076563	2	0.6984151475508236
